game_title,time_to_beat
ADVENTURE CAPITALIST,9955
AMNESIA  THE DARK DESCENT,497
BATTLERITE,-
BAYONETTA,771
BIOSHOCK,846
BIOSHOCK 2,770
BIOSHOCK INFINITE,823
BLACK SQUAD,-
BLACKLIGHT  RETRIBUTION,1788
BLOCKADE 3D,-
BROTHERS IN ARMS  EARNED IN BLOOD,460
BROTHERS IN ARMS  HELL'S HIGHWAY,491
BROTHERS IN ARMS  ROAD TO HILL 30,493
CALL OF DUTY  BLACK OPS II,478
CAR MECHANIC SIMULATOR 2015,1608
CARD HUNTER,1786
CASTLE CRASHERS,615
CODENAME CURE,-
COLD WAR,417
COUNTER-STRIKE NEXON  ZOMBIES,-
COUNTER-STRIKE  GLOBAL OFFENSIVE,17477
CRY OF FEAR,595
DEAD ISLAND  EPIDEMIC,2621
DESTINY 2,1478
DEV GUY,45
DIRT RALLY,3281
DIRTY BOMB,11406
DISHONORED,966
DON'T STARVE TOGETHER,4479
DOOM,868
ECHO OF SOUL,-
EVOLVE,576
EVOLVE  STAGE 2,-
F.E.A.R. ONLINE,-
FALLEN EARTH,-
FISHING PLANET,-
GARRY'S MOD,9956
GOTHAM CITY IMPOSTORS,2338
GRAND THEFT AUTO III,1204
GRAND THEFT AUTO  SAN ANDREAS,2593
GRAND THEFT AUTO  VICE CITY,1464
HAND SIMULATOR,180
HAUNTED MEMORIES,-
HAWKEN,292
HAYDEE,844
HELLBLADE  SENUA'S SACRIFICE,484
HELLBLADE  SENUA'S SACRIFICE - VR EDITION,501
HITMAN 2  SILENT ASSASSIN,903
HITMAN  ABSOLUTION,939
HITMAN  ABSOLUTION - SNIPER CHALLENGE,68
HITMAN  CONTRACTS,657
INFESTATION  THE NEW Z,-
INJUSTICE  GODS AMONG US - ULTIMATE EDITION,354
KINGDOM  CLASSIC,644
LEFT 4 DEAD 2,931
LIFE IS STRANGE,953
LITTLE NIGHTMARES,231
LOADOUT,3600
METAL GEAR SOLID V  GROUND ZEROES,201
METAL GEAR SOLID V  THE PHANTOM PAIN,4742
METRO 2033,630
METRO 2033 REDUX,611
METRO CONFLICT,-
METRO EXODUS,1254
METRO  LAST LIGHT REDUX,679
MIGHT AND MAGIC  DUEL OF CHAMPIONS,840
MIRROR'S EDGE,402
MIRROR'S EDGE  CATALYST,681
MONACO  WHAT'S YOURS IS MINE,856
MOONBASE ALPHA,80
NEVERWINTER,5059
NIER  AUTOMATA,2171
NO MORE ROOM IN HELL,454
NOSGOTH,2416
PALADINS,9105
PATH OF EXILE,4367
PAYDAY 2,7063
PAYDAY  THE HEIST,948
PORTAL 2,617
RACE 07,369
RACE 07  FORMULA RACE ROOM,-
RACE 07  GT POWER PACK,-
RACE 07  THE RETRO EXPANSION,-
RACE 07  WTCC 2010 EXPANSION PACK,-
RACE INJECTION,-
RACEROOM RACING EXPERIENCE,-
RADIATOR 2,32
RAIDERZ,-
REALM OF THE MAD GOD,16733
RING OF ELYSIUM,600
RISE OF THE TOMB RAIDER,1206
ROBOCRAFT,4606
ROMERO'S AFTERMATH,-
RYSE  SON OF ROME,437
SHADOW OF THE TOMB RAIDER,1260
SLEEPING DOGS  DEFINITIVE EDITION,1414
SPACE FARMERS,261
STCC  THE GAME 2,-
STRIFE,-
STRIFE  QUEST FOR THE SIGIL,485
SUPER BUTTON SOCCER,360
SUPERFLIGHT,123
TERA,3512
THE CAT LADY,538
THE FOREST,1388
THE LORD OF THE RINGS ONLINE,26338
THE TURING TEST,355
THE WITCHER,2778
THE WITCHER 2  ASSASSINS OF KINGS,1962
THE WITCHER 3  WILD HUNT,6052
TITAN QUEST  ANNIVERSARY EDITION,2429
TOKI TORI 3D,510
TOM CLANCY'S GHOST RECON  PHANTOMS,-
TOMB RAIDER,864
TORIBASH,-
TOXIKK,-
TRACKMANIA NATIONS FOREVER,1453
TROVE,11849
UNTURNED,3010
VRCHAT,12086
WAR THUNDER,1545
WARFRAME,34862
ZEZENIA ONLINE,-
