game_title,playtime_forever
GARRY'S MOD,3287
MIRROR'S EDGE,523
BROTHERS IN ARMS  ROAD TO HILL 30,0
BROTHERS IN ARMS  HELL'S HIGHWAY,0
BROTHERS IN ARMS  EARNED IN BLOOD,38
THE WITCHER,544
TOKI TORI,2
METRO 2033,70
PORTAL 2,1143
THE WITCHER 2  ASSASSINS OF KINGS,9
RACE 07,397
STCC II,0
RACE 07 - FORMULA RACEROOM ADD-ON,0
GT POWER EXPANSION,1
THE RETRO EXPANSION,0
THE WTCC 2010 PACK,0
RACE INJECTION,1
GRAND THEFT AUTO III,0
GRAND THEFT AUTO  VICE CITY,0
GRAND THEFT AUTO  SAN ANDREAS,0
DOTA 2 TEST,0
CASTLE CRASHERS,255
HITMAN 2  SILENT ASSASSIN,230
CALL OF DUTY  BLACK OPS II,40
CALL OF DUTY  BLACK OPS II - MULTIPLAYER,2096
CALL OF DUTY  BLACK OPS II - ZOMBIES,265
HITMAN  ABSOLUTION,118
HITMAN  SNIPER CHALLENGE,0
MONACO,511
TRACKMANIA NATIONS FOREVER,51
NEVERWINTER,192
FALLEN EARTH,0
REALM OF THE MAD GOD EXALT,47
GOTHAM CITY IMPOSTORS  FREE TO PLAY,29
LOADOUT,37
RACEROOM RACING EXPERIENCE,0
THE LORD OF THE RINGS ONLINE,0
WARFRAME,3
WAR THUNDER,5
PATH OF EXILE,1299
TOM CLANCY'S GHOST RECON PHANTOMS - NA,6
MOONBASE ALPHA,114
BLACKLIGHT  RETRIBUTION,18
RAIDERZ,0
CRY OF FEAR,78
TORIBASH,29
HAWKEN,18
NO MORE ROOM IN HELL,117
HAUNTED MEMORIES,3
MIGHT & MAGIC  DUEL OF CHAMPIONS,144
THE FOREST,0
PAYDAY 2,1175
THE CAT LADY,53
DISHONORED,0
HITMAN  CONTRACTS,7
COLD WAR,15
LEFT 4 DEAD 2,441
COUNTER-STRIKE NEXON  STUDIO,0
METRO 2033 REDUX,2
METRO  LAST LIGHT REDUX,0
SPACE FARMERS,86
CARD HUNTER,13
ROBOCRAFT,0
BLOCKADE 3D,49
TROVE,234
UNTURNED,839
DEAD ISLAND  EPIDEMIC,2
NOSGOTH,22
TOMB RAIDER,965
TERA,11
RYSE  SON OF ROME,17
SLEEPING DOGS  DEFINITIVE EDITION,2
F.E.A.R. ONLINE,0
PAYDAY  THE HEIST,423
COUNTER-STRIKE  GLOBAL OFFENSIVE,2491
DIRTY BOMB,10
ADVENTURE CAPITALIST,0
AFTERMATH,1
STRIFE,17
DEV GUY,0
CODENAME CURE,12
BIOSHOCK,2564
BIOSHOCK 2,241
BIOSHOCK INFINITE,736
BIOSHOCK REMASTERED,8
BIOSHOCK 2 REMASTERED,0
METRO CONFLICT,56
DON'T STARVE TOGETHER,57
AION,0
FISHING PLANET,66
RADIATOR 2  ANNIVERSARY EDITION,2
CAR MECHANIC SIMULATOR 2015,51
AMNESIA  THE DARK DESCENT,450
SUPER BUTTON SOCCER,0
RISE OF THE TOMB RAIDER,1610
VRCHAT,9
PALADINS,144
PALADINS - PUBLIC TEST,0
BAYONETTA,335
DOOM,410
TITAN QUEST ANNIVERSARY EDITION,0
ZEZENIA ONLINE,1
THE TURING TEST,36
EVOLVE STAGE 2,8
LIFE IS STRANGE,0
THE WITCHER 3  WILD HUNT,5731
TOXIKK,541
HAYDEE,0
METAL GEAR SOLID V  THE PHANTOM PAIN,721
METAL GEAR SOLID V  GROUND ZEROES,206
BLACK SQUAD,0
INFESTATION  THE NEW Z,0
HAND SIMULATOR,0
HELLBLADE  SENUA'S SACRIFICE,603
HELLBLADE  SENUA'S SACRIFICE VR EDITION,0
SUPERFLIGHT,0
BATTLERITE PUBLIC TEST,0
BATTLERITE,304
RING OF ELYSIUM,0
KINGDOM  CLASSIC,11
SHADOW OF THE TOMB RAIDER,288
METRO EXODUS,0
ECHO OF SOUL,1
NIER AUTOMATA,1224
DIRT RALLY,0
DESTINY 2,0
MIRROR'S EDGE CATALYST,103
INJUSTICE  GODS AMONG US ULTIMATE EDITION,0
LITTLE NIGHTMARES,0
